DATE,DEVICE,LISTENING_TIME,ID_C,ID_T
2014-01-25 14:49:07,web application,07:43:09,2665,6919
2016-08-22 15:05:14,mobile,20:17:07,534,2660
1985-05-12 08:58:02,mobile,05:17:37,1139,684
1992-01-26 09:57:06,mobile,14:43:44,846,3074
2021-02-19 06:22:44,desktop,13:39:14,412,5358
1982-04-03 08:54:12,web application,18:22:42,2936,5795
1994-09-13 18:59:07,web application,08:18:37,945,4293
2004-10-19 07:33:52,desktop,06:44:33,3295,2065
2007-09-04 02:18:49,web application,19:06:20,1524,7882
2008-01-05 00:21:56,desktop,07:33:59,302,5238
2003-08-07 21:58:47,desktop,09:33:52,2313,5779
2000-08-22 02:57:29,web application,13:30:02,184,6454
1996-01-09 00:39:55,mobile,03:55:26,2676,5914
2014-10-20 19:52:10,web application,11:09:06,2612,3453
2002-04-08 23:46:43,web application,01:19:31,2862,2478
1986-05-20 17:17:15,web application,19:39:59,2103,8454
2007-11-05 11:58:49,web application,23:36:09,2024,487
2011-04-18 18:57:40,web application,13:08:28,2731,118
1977-04-11 06:25:29,mobile,12:56:39,2861,3907
2001-05-19 06:21:30,mobile,16:31:37,3281,2811
1974-01-09 09:29:33,desktop,17:27:04,383,8288
1984-09-04 20:50:56,web application,22:04:51,2233,35
2012-09-30 05:05:44,web application,02:07:41,3364,4818
2002-07-19 01:56:07,web application,06:04:05,3384,4181
1989-12-06 17:32:04,desktop,09:52:45,826,2011
1991-07-09 03:06:11,mobile,11:06:02,3299,3705
2021-06-30 07:13:35,web application,07:14:32,184,1145
2023-08-21 09:46:36,web application,20:40:49,2192,5996
1992-09-09 05:01:35,desktop,20:24:35,2168,5083
2015-04-16 00:51:49,desktop,20:08:32,1092,7560
1992-06-23 11:08:40,mobile,11:53:49,825,2329
2010-01-29 02:32:57,mobile,14:55:01,2072,5060
2022-01-14 05:18:09,web application,01:20:54,972,7212
1995-08-30 00:29:52,desktop,15:26:42,3398,8497
1979-07-15 08:12:09,web application,01:57:53,1869,4592
1988-01-15 05:48:37,desktop,00:28:21,2844,2804
1982-11-06 07:00:11,mobile,08:00:44,246,5134
1979-03-22 23:46:47,web application,10:38:03,2856,3884
1973-12-26 19:13:48,web application,14:10:33,3450,5852
2003-04-17 10:34:28,web application,06:59:05,2782,3811
